codigo_entidad,mes_str,categoria,tipo_filial,denominacion,direccion,localidad,partido,provincia,latitud,longitud,cantidad_cajeros
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL BARRIO UNIVERSITARIO  ATM H34N327558,AVENIDA ALEM 979,BAHÍA BLANCA,BAHIA BLANCA,BUENOS AIRES,-38.704812,-62.268015,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,CENTRO BAHIA BLANCA ATM 1522VDC06531,AV. COLON 36,BAHÍA BLANCA,BAHIA BLANCA,BUENOS AIRES,-38.718991,-62.267188,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,BAHIA BLANCA - SERIE Nº 1720-V33-03505,UNDIANO 19,BAHÍA BLANCA,BAHIA BLANCA,BUENOS AIRES,-38.724053,-62.260718,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,PATAGONES,ALSINA 50 y COMODORO RIVADAVIA,CARMEN DE PATAGONES,PATAGONES,BUENOS AIRES,-40.801192,-62.982719,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL  TANDIL ATM 54049762,GRAL. PINTO 699,TANDIL,TANDIL,BUENOS AIRES,-37.326966,-59.134569,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL AZUL - Nº DE SERIE 1720-V33-01713,SAN MARTIN 499,AZUL,AZUL,BUENOS AIRES,-36.778723,-59.862867,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL OLAVARRIA ATM H34N327526,VICENTE LOPEZ 3006,OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.891727,-60.321631,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL RAUCH,AV. SAN MARTIN 0000000395,RAUCH,RAUCH,BUENOS AIRES,-36.776334,-59.091104,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL 25 DE MAYO,CALLE 9 0000000901,25 DE MAYO,25 DE MAYO,BUENOS AIRES,-35.431809,-60.170776,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL ALBERTI - 5300458599,AV. VACCAREZZA 202,ALBERTI (EST. ANDRES VACCAREZZA),ALBERTI,BUENOS AIRES,-35.030602,-60.279533,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,Sucursal Chacabuco - H22V578133,Av. Alsina 0000000050,CHACABUCO,CHACABUCO,BUENOS AIRES,-34.643373,-60.469708,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL CHIVILCOY ATM 54049754,CARLOS PELLEGRINI 52,CHIVILCOY,CHIVILCOY,BUENOS AIRES,-34.895326,-60.019118,0
00014,2026-02,cajero,Cajeros automáticos dentro de la casas operativas,SUCURSAL 9 DE JULIO ATM 54049808,AV. BARTOLOME MITRE 1305,9 DE JULIO,9 DE JULIO,BUENOS AIRES,-35.445053,-60.885179,0
